playerID,birthYear,nameGiven,weight,height,bats,throws
allenbo02,1894,Robert,180,70,R,R
allenbo03,1914,Robert Earl,165,73,R,R
allenbo04,1937,Robert Gray,175,74,L,L
allenbr01,1986,Brandon Durell,230,74,L,R
allench01,1975,John Chad,195,73,R,R
allenco01,1988,Cody Edward,210,73,R,R
allendi01,1942,Richard Anthony,187,71,R,R
allendu01,1972,Dustin R.,215,76,R,R
allenet01,1904,Ethan Nathan,180,73,R,R
allenfr01,1888,Frank Leon,175,69,R,L
allenga01,1955,Gary Martin,185,71,R,R
allenha01,1846,Frank Erwin,,64,,
allenha02,1940,Harold Andrew,190,72,R,R
allenhe01,1863,Hezekiah,160,71,,
allenho01,1899,Horace Tanner,187,72,L,R
allenja01,1855,Cyrus Alban,160,,R,R
allenja02,1958,James Bradley,205,72,R,R
allenje01,1972,Jermaine LaMont,178,72,R,R
allenjo01,1890,John Marshall,170,73,R,R
allenjo02,1904,John Thomas,180,72,R,R
allenki01,1953,Kim Bryant,175,71,R,R
allenll01,1950,Lloyd Cecil,185,73,R,R
allenlu01,1978,Lucas Gale,208,74,L,R
allenmy01,1854,Myron Smith,150,68,R,R
allenne01,1958,Neil Patrick,185,75,R,R
allenni01,1888,Artemus Ward,180,72,R,R
allenpe01,1868,Jesse Hall,185,68,R,R
allenro01,1943,Ronald Frederick,205,75,B,R
allenro02,1959,Roderick Bernet,185,73,R,R
allensl01,1886,Fletcher Manson,180,73,R,R
alleyge01,1940,Leonard Eugene,160,70,R,R
alliebo01,1952,Robert George,190,72,R,R
alliega01,1931,Gair Roosevelt,190,73,R,R
allisan01,1848,Andrew Kent,150,70,,
allisar01,1849,Arthur Algernon,150,68,,
allisbi01,1850,William,,,,
allisbo01,1934,William Robert,205,75,R,R
allisda01,1966,Dana Eric,215,75,R,L
allisdo01,1846,Douglas L.,160,70,R,R
allisma01,1887,Mack Pendleton,185,73,R,R
allismi01,1890,Milo Henry,163,72,L,R
allrebe01,1965,Dale LeBeau,190,72,L,L
almadme01,1913,Baldomero Melo,170,72,L,L
almanar01,1972,Armando,205,75,L,L
almanca01,1973,Carlos Manuel,166,74,R,R
almeira01,1887,Rafael D.,164,69,R,R
almonab01,1989,Abraham,210,69,B,R
almonbi01,1952,William Francis,180,75,R,R
almoned01,1976,Edwin,200,75,R,R
almoner01,1978,Erick R.,245,74,R,R
almonhe01,1975,Hector Radhames,190,74,R,R
almonmi01,1993,Miguel Emilio,180,74,R,R
almonzo01,1989,Zoilo Manuel,205,72,B,R
alomalu01,1923,Luis,195,74,R,R
alomaro01,1968,Roberto,184,72,B,R
alomasa01,1943,Santos,140,69,B,R
alomasa02,1966,Santos,200,77,R,R
alonsyo01,1987,Yonder,230,73,L,R
aloufe01,1935,Felipe Rojas,195,72,R,R
alouje01,1942,Jesus Maria Rojas,190,74,R,R
